pays,geo_code,annee,type_energie,siec_code,siec_label,valeur,unite,unite_label
Espagne,ES,2020,Gaz naturel,G3000,Natural gas,1314814.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Espagne,ES,2020,Pétrole brut,O4100_TOT,Crude oil,54855.0,THS_T,Thousand tonnes
Espagne,ES,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),73732.0,THS_T,Thousand tonnes
Espagne,ES,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,6075.0,THS_T,Thousand tonnes
Espagne,ES,2021,Gaz naturel,G3000,Natural gas,1496249.72,TJ_GCV,Terajoule (gross calorific value - GCV)
Espagne,ES,2021,Pétrole brut,O4100_TOT,Crude oil,56171.787,THS_T,Thousand tonnes
Espagne,ES,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),76369.961,THS_T,Thousand tonnes
Espagne,ES,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,10363.48,THS_T,Thousand tonnes
Espagne,ES,2022,Gaz naturel,G3000,Natural gas,1606503.304,TJ_GCV,Terajoule (gross calorific value - GCV)
Espagne,ES,2022,Pétrole brut,O4100_TOT,Crude oil,63691.533,THS_T,Thousand tonnes
Espagne,ES,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),82888.491,THS_T,Thousand tonnes
Espagne,ES,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,6942.533,THS_T,Thousand tonnes
Espagne,ES,2023,Gaz naturel,G3000,Natural gas,1427163.159,TJ_GCV,Terajoule (gross calorific value - GCV)
Espagne,ES,2023,Pétrole brut,O4100_TOT,Crude oil,61558.654,THS_T,Thousand tonnes
Espagne,ES,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),80860.432,THS_T,Thousand tonnes
Estonie,EE,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,48.695,THS_T,Thousand tonnes
Estonie,EE,2019,Gaz naturel,G3000,Natural gas,18642.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Estonie,EE,2019,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Estonie,EE,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),1829.695,THS_T,Thousand tonnes
Estonie,EE,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3.5,THS_T,Thousand tonnes
Estonie,EE,2020,Gaz naturel,G3000,Natural gas,17202.0,TJ_GCV,Terajoule (gross calorific value - GCV)
